sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
11132,7.6706,76706,finish,1,Sensor,1535,3710,vehicle_sensor_cpu
11133,7.6709,76709,finish,2,Estimator,768,3711,cloud_estimator_cpu
11134,7.675,76750,release,1,Sensor,1536,3712,vehicle_sensor_cpu
11135,7.675,76750,start,1,Sensor,1536,3712,vehicle_sensor_cpu
11136,7.6756,76756,finish,1,Sensor,1536,3712,vehicle_sensor_cpu
11137,7.68,76800,release,1,Sensor,1537,3713,vehicle_sensor_cpu
11138,7.68,76800,release,2,Estimator,769,3714,cloud_estimator_cpu
11139,7.68,76800,release,6,Actuator,257,3715,vehicle_actuator_cpu
11140,7.68,76800,release,3,Controller,385,3716,cloud_controller_cpu
11141,7.68,76800,release,4,Feedforward,385,3717,cloud_feedforward_cpu
11142,7.68,76800,release,5,Merger,385,3718,cloud_merger_cpu
11143,7.68,76800,start,1,Sensor,1537,3713,vehicle_sensor_cpu
11144,7.68,76800,start,2,Estimator,769,3714,cloud_estimator_cpu
11145,7.68,76800,start,3,Controller,385,3716,cloud_controller_cpu
11146,7.68,76800,start,4,Feedforward,385,3717,cloud_feedforward_cpu
11147,7.68,76800,start,5,Merger,385,3718,cloud_merger_cpu
11148,7.68,76800,start,6,Actuator,257,3715,vehicle_actuator_cpu
11149,7.6803,76803,finish,3,Controller,385,3716,cloud_controller_cpu
11150,7.6803,76803,finish,5,Merger,385,3718,cloud_merger_cpu
11151,7.6805,76805,finish,6,Actuator,257,3715,vehicle_actuator_cpu
11152,7.6806,76806,finish,1,Sensor,1537,3713,vehicle_sensor_cpu
11153,7.6809,76809,finish,2,Estimator,769,3714,cloud_estimator_cpu
11154,7.6812,76812,finish,4,Feedforward,385,3717,cloud_feedforward_cpu
11155,7.685,76850,release,1,Sensor,1538,3719,vehicle_sensor_cpu
11156,7.685,76850,start,1,Sensor,1538,3719,vehicle_sensor_cpu
11157,7.6856,76856,finish,1,Sensor,1538,3719,vehicle_sensor_cpu
