sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
11419,7.87,78700,release,1,Sensor,1575,3807,vehicle_sensor_cpu
11420,7.87,78700,release,2,Estimator,788,3808,cloud_estimator_cpu
11421,7.87,78700,start,1,Sensor,1575,3807,vehicle_sensor_cpu
11422,7.87,78700,start,2,Estimator,788,3808,cloud_estimator_cpu
11423,7.8706,78706,finish,1,Sensor,1575,3807,vehicle_sensor_cpu
11424,7.8709,78709,finish,2,Estimator,788,3808,cloud_estimator_cpu
11425,7.875,78750,release,1,Sensor,1576,3809,vehicle_sensor_cpu
11426,7.875,78750,start,1,Sensor,1576,3809,vehicle_sensor_cpu
11427,7.8756,78756,finish,1,Sensor,1576,3809,vehicle_sensor_cpu
11428,7.88,78800,release,1,Sensor,1577,3810,vehicle_sensor_cpu
11429,7.88,78800,release,2,Estimator,789,3811,cloud_estimator_cpu
11430,7.88,78800,release,3,Controller,395,3812,cloud_controller_cpu
11431,7.88,78800,release,4,Feedforward,395,3813,cloud_feedforward_cpu
11432,7.88,78800,release,5,Merger,395,3814,cloud_merger_cpu
11433,7.88,78800,start,1,Sensor,1577,3810,vehicle_sensor_cpu
11434,7.88,78800,start,2,Estimator,789,3811,cloud_estimator_cpu
11435,7.88,78800,start,3,Controller,395,3812,cloud_controller_cpu
11436,7.88,78800,start,4,Feedforward,395,3813,cloud_feedforward_cpu
11437,7.88,78800,start,5,Merger,395,3814,cloud_merger_cpu
11438,7.8803,78803,finish,3,Controller,395,3812,cloud_controller_cpu
11439,7.8803,78803,finish,5,Merger,395,3814,cloud_merger_cpu
11440,7.8806,78806,finish,1,Sensor,1577,3810,vehicle_sensor_cpu
11441,7.8809,78809,finish,2,Estimator,789,3811,cloud_estimator_cpu
11442,7.8812,78812,finish,4,Feedforward,395,3813,cloud_feedforward_cpu
11443,7.885,78850,release,1,Sensor,1578,3815,vehicle_sensor_cpu
